Timestamp,Current (µA),Voltage (µV),Capacity (%),Charge (µAh),Temperature (°C),Charging
2024-12-06 19:11:16,914000,16342000,81,4386000,27.8,0
2024-12-06 19:11:26,798000,16352000,81,4383000,27.8,0
2024-12-06 19:11:36,795000,16355000,81,4381000,27.8,0
2024-12-06 19:11:46,854000,16344000,81,4379000,27.8,0
2024-12-06 19:11:57,851000,16350000,81,4376000,27.8,0
2024-12-06 19:12:07,829000,16355000,81,4374000,27.8,0
2024-12-06 19:12:17,781000,16353000,81,4372000,27.8,0
2024-12-06 19:12:27,793000,16351000,81,4369000,27.8,0
2024-12-06 19:12:37,788000,16331000,81,4367000,27.8,0
2024-12-06 19:12:47,935000,16312000,80,4364000,27.8,0
2024-12-06 19:13:32,961000,16306000,80,4351000,27.8,0
2024-12-06 19:13:46,1215000,16258000,80,4347000,27.8,0
2024-12-06 19:13:52,1201000,16290000,80,4346000,27.8,0
2024-12-06 19:21:27,870000,16231000,78,4234000,27.8,0
2024-12-06 19:22:49,970000,16204000,78,4213000,27.8,0
2024-12-06 19:23:19,1186000,16138000,78,4205000,27.8,0
2024-12-06 19:24:40,1135000,16113000,77,4183000,27.8,0
2024-12-06 19:25:49,792000,16175000,77,4165000,27.8,0
